class,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
3,2015-11-03T06:33:05.40Z,45.9923438,10.9264409,311.210,2.70,-8.21,3.66,2.240,4.714,0.75,3,8
3,2015-11-03T06:33:05.60Z,45.9923487,10.9264196,310.415,2.76,-8.21,3.63,2.247,4.724,0.76,3,8
3,2015-11-03T06:33:05.80Z,45.9923536,10.9263982,309.626,2.80,-8.41,3.63,2.254,4.742,0.81,3,8
3,2015-11-03T06:33:06.00Z,45.9923581,10.9263766,308.623,2.60,-8.41,3.70,2.260,4.732,0.89,3,8
3,2015-11-03T06:33:06.20Z,45.9923626,10.9263553,307.743,2.64,-8.35,3.71,2.287,4.712,1.04,3,8
3,2015-11-03T06:33:06.40Z,45.9923674,10.9263328,306.856,2.75,-8.58,3.68,2.337,4.712,1.10,3,8
3,2015-11-03T06:33:06.60Z,45.9923723,10.9263112,305.857,2.89,-8.47,3.73,2.385,4.708,1.05,3,8
3,2015-11-03T06:33:06.80Z,45.9923773,10.9262892,304.970,2.88,-8.59,3.78,2.426,4.680,1.03,3,8
3,2015-11-03T06:33:07.00Z,45.9923816,10.9262663,303.705,2.68,-8.70,3.85,2.474,4.648,1.05,3,8
3,2015-11-03T06:33:07.20Z,45.9923860,10.9262436,302.382,2.67,-8.77,3.89,2.506,4.606,0.98,3,8
3,2015-11-03T06:33:07.40Z,45.9923904,10.9262203,301.122,2.58,-9.02,3.98,2.539,4.537,0.98,3,8
3,2015-11-03T06:33:08.00Z,45.9924049,10.9261457,297.175,3.06,-9.05,4.01,2.554,4.323,0.81,3,8
3,2015-11-03T06:33:08.20Z,45.9924098,10.9261214,296.326,2.72,-9.17,4.04,2.547,4.328,0.84,3,8
3,2015-11-03T06:33:08.40Z,45.9924152,10.9260965,295.655,2.86,-9.32,3.91,2.549,4.362,0.81,3,8
3,2015-11-03T06:33:08.60Z,45.9924206,10.9260710,294.977,2.90,-9.65,3.79,2.538,4.375,0.82,3,8
3,2015-11-03T06:33:08.80Z,45.9924254,10.9260468,294.195,2.62,-9.34,3.80,2.528,4.391,0.83,3,8
3,2015-11-03T06:33:09.00Z,45.9924303,10.9260222,293.172,2.76,-9.37,3.86,2.518,4.351,0.91,3,8
3,2015-11-03T06:33:09.20Z,45.9924358,10.9259967,292.221,2.92,-9.60,3.90,2.524,4.351,0.96,3,7
3,2015-11-03T06:33:09.40Z,45.9924409,10.9259719,291.233,2.95,-9.51,3.97,2.509,4.329,0.91,3,7
3,2015-11-03T06:33:09.60Z,45.9924467,10.9259463,290.284,3.11,-9.79,4.03,2.517,4.332,0.95,3,7
3,2015-11-03T06:33:09.80Z,45.9924520,10.9259206,289.220,2.94,-9.82,4.11,2.525,4.335,0.94,3,7
3,2015-11-03T06:33:10.00Z,45.9924570,10.9258951,288.256,2.99,-9.82,4.16,2.542,4.340,0.99,3,7
3,2015-11-03T06:33:10.20Z,45.9924621,10.9258689,287.294,2.91,-9.94,4.15,2.557,4.344,0.97,3,7
3,2015-11-03T06:33:10.40Z,45.9924679,10.9258426,286.208,3.08,-9.91,4.06,2.572,4.284,1.00,3,8
3,2015-11-03T06:33:10.60Z,45.9924739,10.9258167,285.314,3.14,-9.69,3.96,2.590,4.278,0.99,3,7
3,2015-11-03T06:33:10.80Z,45.9924795,10.9257925,284.402,2.93,-9.18,3.88,2.618,4.294,1.02,3,7
3,2015-11-03T06:33:11.00Z,45.9924862,10.9257680,283.661,3.43,-9.04,3.72,2.610,4.277,0.97,3,8
3,2015-11-03T06:33:11.20Z,45.9924926,10.9257453,283.174,3.43,-8.69,3.51,2.600,4.278,0.85,3,8
3,2015-11-03T06:33:11.40Z,45.9924994,10.9257243,282.825,3.62,-8.01,3.29,2.594,4.286,0.90,3,8
3,2015-11-03T06:33:11.60Z,45.9925068,10.9257059,282.593,4.09,-7.15,3.07,2.587,4.294,0.90,3,8
3,2015-11-03T06:33:11.80Z,45.9925140,10.9256899,282.085,4.21,-6.26,2.99,2.589,4.335,0.89,3,8
3,2015-11-03T06:33:12.00Z,45.9925222,10.9256742,281.428,4.63,-5.86,2.99,2.606,4.377,0.95,3,7
3,2015-11-03T06:33:12.20Z,45.9925312,10.9256616,280.785,5.29,-4.85,3.05,2.637,4.409,1.03,3,8
3,2015-11-03T06:33:12.40Z,45.9925405,10.9256512,279.871,5.72,-4.01,3.24,2.665,4.433,1.04,3,8
3,2015-11-03T06:33:12.60Z,45.9925505,10.9256431,278.928,5.98,-3.10,3.44,2.698,4.455,1.05,3,8
3,2015-11-03T06:33:12.80Z,45.9925607,10.9256379,278.081,6.20,-2.14,3.64,2.732,4.468,1.01,3,8
3,2015-11-03T06:33:13.00Z,45.9925718,10.9256347,277.116,6.58,-1.29,3.87,2.765,4.465,0.97,3,8
3,2015-11-03T06:33:13.20Z,45.9925818,10.9256347,275.663,6.35,-0.31,4.25,2.803,4.447,0.99,3,8
3,2015-11-03T06:33:13.40Z,45.9925916,10.9256375,274.160,6.16,0.64,4.55,2.836,4.418,0.95,3,8
3,2015-11-03T06:33:14.00Z,45.9926238,10.9256661,271.334,5.60,4.62,4.83,2.949,4.369,0.90,3,8
3,2015-11-03T06:33:14.20Z,45.9926332,10.9256824,270.529,5.22,5.91,4.85,2.968,4.351,0.92,3,8
3,2015-11-03T06:33:14.40Z,45.9926416,10.9256992,269.487,4.54,6.62,4.95,2.975,4.317,0.88,3,8
3,2015-11-03T06:33:14.60Z,45.9926487,10.9257207,268.652,3.98,7.91,4.91,2.988,4.307,0.94,3,8
3,2015-11-03T06:33:14.80Z,45.9926545,10.9257440,267.899,3.15,8.89,4.82,3.006,4.316,0.99,3,8
3,2015-11-03T06:33:15.00Z,45.9926588,10.9257649,266.787,2.03,8.93,4.92,3.024,4.327,0.99,3,8
3,2015-11-03T06:33:15.20Z,45.9926607,10.9257886,265.781,0.99,9.47,4.93,3.060,4.363,1.03,3,8
3,2015-11-03T06:33:15.40Z,45.9926605,10.9258108,264.593,-0.20,9.48,5.03,3.092,4.394,1.03,3,8
3,2015-11-03T06:33:15.60Z,45.9926577,10.9258331,263.459,-1.48,9.52,5.11,3.116,4.423,1.04,3,8
3,2015-11-03T06:33:15.80Z,45.9926527,10.9258546,262.518,-2.81,9.54,5.25,3.122,4.420,1.01,3,8
3,2015-11-03T06:33:16.00Z,45.9926457,10.9258776,261.491,-3.91,9.54,5.40,3.142,4.432,1.02,3,8
3,2015-11-03T06:33:16.20Z,45.9926364,10.9259000,260.247,-5.05,9.37,5.56,3.151,4.456,0.98,3,8
3,2015-11-03T06:33:16.40Z,45.9926250,10.9259221,259.008,-6.22,9.11,5.69,3.142,4.442,0.98,3,8
3,2015-11-03T06:33:16.60Z,45.9926129,10.9259440,257.777,-6.87,9.06,5.74,3.169,4.473,1.03,3,8
3,2015-11-03T06:33:16.80Z,45.9925990,10.9259677,256.539,-7.64,9.35,5.78,3.210,4.521,1.08,3,8
3,2015-11-03T06:33:17.00Z,45.9925855,10.9259872,255.789,-7.99,8.88,5.37,3.240,4.545,1.10,3,8
3,2015-11-03T06:33:17.20Z,45.9925710,10.9260075,254.824,-8.37,8.88,5.14,3.261,4.571,1.11,3,8
3,2015-11-03T06:33:17.40Z,45.9925570,10.9260275,254.128,-8.29,8.82,4.76,3.269,4.578,1.11,3,8
3,2015-11-03T06:33:17.60Z,45.9925442,10.9260488,253.641,-7.45,9.17,4.30,3.261,4.579,0.92,3,8
3,2015-11-03T06:33:17.80Z,45.9925342,10.9260692,252.952,-6.33,9.36,3.99,3.274,4.595,0.96,3,8
3,2015-11-03T06:33:18.00Z,45.9925255,10.9260906,252.364,-5.42,9.13,3.77,3.320,4.632,1.08,3,8
3,2015-11-03T06:33:18.20Z,45.9925180,10.9261128,251.712,-4.68,9.14,3.68,3.374,4.667,1.18,3,8
3,2015-11-03T06:33:18.40Z,45.9925133,10.9261346,250.935,-3.46,8.94,3.74,3.426,4.695,1.17,3,8
3,2015-11-03T06:33:18.60Z,45.9925106,10.9261563,249.945,-2.33,8.72,3.95,3.476,4.723,1.12,3,8
3,2015-11-03T06:33:18.80Z,45.9925109,10.9261770,248.746,-0.94,8.36,4.35,3.496,4.719,1.00,3,8
3,2015-11-03T06:33:19.00Z,45.9925146,10.9261956,247.451,0.65,7.90,4.74,3.514,4.717,0.93,3,8
3,2015-11-03T06:33:19.20Z,45.9925210,10.9262119,245.985,2.19,7.40,5.16,3.501,4.705,0.85,3,8
3,2015-11-03T06:33:19.40Z,45.9925302,10.9262305,244.668,4.03,7.40,5.58,3.485,4.666,0.77,3,8
3,2015-11-03T06:33:20.00Z,45.9925688,10.9262693,240.159,7.47,5.00,6.24,3.444,4.582,0.71,3,8
3,2015-11-03T06:33:20.20Z,45.9925856,10.9262750,238.323,8.27,3.82,6.49,3.398,4.511,0.71,3,8
3,2015-11-03T06:33:20.40Z,45.9926030,10.9262778,236.416,8.76,2.40,6.80,3.383,4.488,0.76,3,8
3,2015-11-03T06:33:20.60Z,45.9926212,10.9262770,234.497,9.22,1.03,7.06,3.361,4.463,0.79,3,8
3,2015-11-03T06:33:20.80Z,45.9926397,10.9262736,232.726,9.65,-0.27,7.25,3.340,4.461,0.85,3,8
3,2015-11-03T06:33:21.00Z,45.9926582,10.9262681,230.828,9.76,-1.36,7.44,3.299,4.462,0.85,3,8
3,2015-11-03T06:33:21.20Z,45.9926774,10.9262608,228.900,9.92,-2.44,7.56,3.243,4.464,0.83,3,8
3,2015-11-03T06:33:21.40Z,45.9926965,10.9262523,227.110,10.05,-3.28,7.56,3.182,4.467,0.82,3,8
3,2015-11-03T06:33:21.60Z,45.9927159,10.9262423,225.070,9.85,-3.51,7.58,3.104,4.461,0.78,3,8
3,2015-11-03T06:33:21.80Z,45.9927360,10.9262315,223.725,9.74,-4.26,7.23,3.034,4.460,0.78,3,8
3,2015-11-03T06:33:22.00Z,45.9927572,10.9262188,222.356,9.91,-4.45,6.86,2.961,4.452,0.76,3,8
3,2015-11-03T06:33:22.20Z,45.9927748,10.9262068,221.223,9.11,-4.73,6.64,2.909,4.459,0.80,3,8
3,2015-11-03T06:33:22.40Z,45.9927917,10.9261936,220.081,9.01,-4.68,6.44,2.856,4.468,0.77,3,8
3,2015-11-03T06:33:22.60Z,45.9928081,10.9261814,219.301,8.60,-4.50,6.11,2.819,4.489,0.82,3,8
3,2015-11-03T06:33:22.80Z,45.9928223,10.9261713,218.283,8.16,-4.12,6.04,2.771,4.489,0.79,3,8
3,2015-11-03T06:33:23.00Z,45.9928366,10.9261615,217.640,7.74,-4.04,5.70,2.755,4.517,0.91,3,8
3,2015-11-03T06:33:23.20Z,45.9928505,10.9261510,217.370,7.30,-4.37,5.27,2.700,4.507,0.80,3,7
3,2015-11-03T06:33:23.40Z,45.9928632,10.9261415,217.226,6.86,-4.15,4.83,2.646,4.487,0.79,3,7
3,2015-11-03T06:33:23.60Z,45.9928737,10.9261310,216.677,6.01,-4.20,4.61,2.618,4.506,0.85,3,7
3,2015-11-03T06:33:23.80Z,45.9928829,10.9261226,216.327,5.51,-3.73,4.32,2.583,4.504,0.82,3,7
3,2015-11-03T06:33:24.00Z,45.9928901,10.9261159,216.255,4.30,-3.55,3.98,2.564,4.497,0.91,3,7
3,2015-11-03T06:33:24.20Z,45.9928969,10.9261089,216.291,3.86,-3.40,3.57,2.562,4.499,0.97,3,8
3,2015-11-03T06:33:24.40Z,45.9929035,10.9261038,216.095,4.05,-2.65,3.33,2.547,4.490,0.88,3,8
3,2015-11-03T06:33:24.60Z,45.9929090,10.9261007,216.072,3.65,-2.30,3.06,2.537,4.498,0.91,3,8
3,2015-11-03T06:33:24.80Z,45.9929145,10.9260948,215.703,3.10,-2.61,2.93,2.528,4.539,0.87,3,8
3,2015-11-03T06:33:25.00Z,45.9929195,10.9260903,215.701,2.78,-2.03,2.68,2.503,4.554,0.82,3,8
3,2015-11-03T06:33:25.20Z,45.9929240,10.9260856,215.462,2.38,-1.80,2.52,2.508,4.564,0.88,3,8
3,2015-11-03T06:33:25.40Z,45.9929292,10.9260837,215.329,2.84,-0.96,2.35,2.510,4.549,0.90,3,8
3,2015-11-03T06:33:26.00Z,45.9929401,10.9260743,214.766,1.36,-0.96,1.95,2.595,4.549,0.92,3,8
3,2015-11-03T06:33:26.20Z,45.9929416,10.9260731,214.646,0.62,-0.36,1.78,2.609,4.505,0.87,3,8
3,2015-11-03T06:33:26.40Z,45.9929426,10.9260719,214.594,0.32,-0.22,1.67,2.653,4.512,0.86,3,8
3,2015-11-03T06:33:26.60Z,45.9929415,10.9260734,214.716,-0.51,-0.18,1.51,2.658,4.512,0.82,3,8
3,2015-11-03T06:33:26.80Z,45.9929415,10.9260744,214.830,-0.20,-0.15,1.38,2.684,4.512,0.83,3,8
3,2015-11-03T06:33:27.00Z,45.9929415,10.9260742,214.787,-0.18,0.04,1.29,2.724,4.511,0.81,3,8
3,2015-11-03T06:33:27.20Z,45.9929415,10.9260729,214.987,-0.15,-0.22,1.14,2.739,4.474,0.84,3,8
3,2015-11-03T06:33:27.40Z,45.9929409,10.9260727,215.197,-0.34,-0.12,1.00,2.728,4.439,0.80,3,8
1,2015-11-03T06:33:27.60Z,45.9929387,10.9260757,215.681,-0.61,0.04,0.88,2.683,4.380,0.72,3,8
1,2015-11-03T06:33:27.80Z,45.9929372,10.9260784,215.959,-0.68,0.15,0.77,2.637,4.316,0.69,3,8
1,2015-11-03T06:33:28.00Z,45.9929360,10.9260795,216.067,-0.38,0.03,0.69,2.593,4.272,0.74,3,8
1,2015-11-03T06:33:28.20Z,45.9929359,10.9260808,216.178,0.30,-0.33,0.60,2.565,4.196,0.80,3,8
1,2015-11-03T06:33:28.40Z,45.9929370,10.9260809,216.397,0.45,-0.32,0.49,2.538,4.138,0.76,3,7
1,2015-11-03T06:33:28.60Z,45.9929379,10.9260806,216.361,0.47,-0.13,0.43,2.492,4.034,0.71,3,8
1,2015-11-03T06:33:28.80Z,45.9929390,10.9260795,216.383,0.36,-0.01,0.38,2.455,3.955,0.70,3,7
1,2015-11-03T06:33:29.00Z,45.9929395,10.9260787,216.303,0.23,0.11,0.36,2.437,3.891,0.72,3,7
1,2015-11-03T06:33:29.20Z,45.9929402,10.9260777,215.983,0.14,0.37,0.33,2.412,3.807,0.77,3,8
1,2015-11-03T06:33:29.40Z,45.9929407,10.9260772,215.712,0.37,0.04,0.30,2.388,3.724,0.68,3,8
1,2015-11-03T06:33:29.60Z,45.9929421,10.9260761,215.733,0.74,-0.36,0.21,2.372,3.690,0.74,3,8
1,2015-11-03T06:33:29.80Z,45.9929442,10.9260741,215.876,0.60,-0.46,0.14,2.362,3.639,0.78,3,8
1,2015-11-03T06:33:30.00Z,45.9929447,10.9260737,215.658,0.40,-0.25,0.12,2.334,3.587,0.85,3,8
1,2015-11-03T06:33:30.20Z,45.9929453,10.9260750,215.937,0.18,-0.12,0.08,2.328,3.553,0.81,3,8
1,2015-11-03T06:33:30.40Z,45.9929455,10.9260758,215.880,0.13,0.13,0.08,2.306,3.509,0.62,3,8
1,2015-11-03T06:33:30.60Z,45.9929451,10.9260776,215.728,0.08,0.42,0.10,2.303,3.473,0.74,3,8
1,2015-11-03T06:33:30.80Z,45.9929450,10.9260790,215.598,-0.16,0.50,0.10,2.289,3.444,0.84,3,8
1,2015-11-03T06:33:31.00Z,45.9929461,10.9260778,215.632,0.02,0.19,0.00,2.278,3.432,0.73,3,8
1,2015-11-03T06:33:31.20Z,45.9929466,10.9260794,215.760,0.10,-0.19,0.00,2.274,3.428,0.94,3,8
1,2015-11-03T06:33:31.40Z,45.9929470,10.9260810,215.849,0.20,0.00,-0.02,2.286,3.425,0.83,3,8
1,2015-11-03T06:33:32.00Z,45.9929474,10.9260805,215.552,-0.14,-0.06,-0.01,2.425,3.521,1.26,3,8
1,2015-11-03T06:33:32.20Z,45.9929468,10.9260803,215.569,-0.30,-0.01,-0.03,2.523,3.573,1.27,3,8
1,2015-11-03T06:33:32.40Z,45.9929467,10.9260802,215.616,-0.38,0.16,-0.04,2.597,3.623,1.10,3,8
1,2015-11-03T06:33:32.60Z,45.9929458,10.9260793,215.506,-0.47,-0.01,0.01,2.672,3.672,1.11,3,8
1,2015-11-03T06:33:32.80Z,45.9929451,10.9260796,215.364,-0.35,0.06,0.08,2.751,3.727,1.15,3,8
1,2015-11-03T06:33:33.00Z,45.9929452,10.9260793,215.341,-0.11,-0.14,0.08,2.836,3.788,1.12,3,8
1,2015-11-03T06:33:33.20Z,45.9929450,10.9260798,215.173,-0.06,0.03,0.16,2.923,3.851,0.88,3,8
